,rank,feature,importance
0,1,cardspent,0.8626593684121762
1,2,card2spent,0.1298487538825073
2,3,carvalue,0.0006435641583041633
3,4,hometype,0.0005211707675269803
4,5,debtinc,0.00029069426163918816
5,6,birthmonth_March,0.0002558780011239903
6,7,creddebt,0.000228907026765967
7,8,card2type,0.00022449031849189715
8,9,lncreddebt,0.00020043037551196566
9,10,card2items,0.0001874931360509279
10,11,lnothdebt,0.0001558633328909179
11,12,commutetime,0.00015483762683026758
12,13,ed,0.00014568909689334977
13,14,income,0.00011523263887790082
14,15,lninc,0.00011162564259866005
15,16,carditems,0.00010263991629600472
16,17,region,0.00010049360717445804
17,18,news,9.832292358950896e-05
18,19,lnwiremon,9.63188505616163e-05
19,20,hourstv,9.627519817665667e-05
20,21,wireten,9.498906179301827e-05
21,22,tollmon,9.250808911041352e-05
22,23,spoused,8.929176305972581e-05
23,24,reside,8.816575440356544e-05
24,25,othdebt,8.5998887628245e-05
25,26,age,8.237803514559741e-05
26,27,cardbenefit,8.218790777150469e-05
27,28,birthmonth_June,8.167594543446472e-05
28,29,card2benefit,7.801291187088345e-05
29,30,pets_dogs,7.518547723177751e-05
30,31,employ,7.487070087217308e-05
31,32,lntollmon,7.468867304987714e-05
32,33,lnwireten,7.321625277612933e-05
33,34,lncardmon,6.750630100706088e-05
34,35,internet,6.592190436478507e-05
35,36,pets_cats,6.400021069875881e-05
36,37,voice,5.882660111884255e-05
37,38,polview,5.803349344501184e-05
38,39,lncardten,5.4963745729173896e-05
39,40,longten,5.492339100434048e-05
40,41,wiremon,5.4881532503911116e-05
41,42,wireless,5.4578034630570606e-05
42,43,bfast,5.38953786768092e-05
43,44,tollten,5.272518495919905e-05
44,45,edcat,5.1329868208615376e-05
45,46,address,5.018339173333842e-05
46,47,pets,4.5848110796593124e-05
47,48,jobsat,4.581926643838121e-05
48,49,cardmon,4.5644246271851225e-05
49,50,lnlongmon,4.5534282377770324e-05
50,51,cars,4.437973516910231e-05
51,52,commute,4.395555758903277e-05
52,53,townsize,4.386902830967757e-05
53,54,longmon,4.3801905374770024e-05
54,55,lntollten,4.2023480929701344e-05
55,56,townsize_5.0,4.178252076231603e-05
56,57,commutecarpool,4.1457859661010535e-05
57,58,cardtype,4.056472707936325e-05
58,59,cardten,3.981847200555416e-05
59,60,jobcat,3.8832478639938614e-05
60,61,polparty,3.6628446200610445e-05
61,62,cartype,3.539709167913353e-05
62,63,equipten,3.462888879534519e-05
63,64,confer,3.445933473413641e-05
64,65,card2,3.445715315040946e-05
65,66,pager,3.306031363022688e-05
66,67,homeown,3.1877187579539764e-05
67,68,commutemotorcycle,3.1824319915168865e-05
68,69,empcat,3.122236681614199e-05
69,70,callid,3.0567290848391534e-05
70,71,tollfree,2.9314355773047816e-05
71,72,marital,2.8067229304221638e-05
72,73,union,2.6809427166805184e-05
73,74,birthmonth_November,2.6279060553230236e-05
74,75,commutewalk,2.610683853239358e-05
75,76,forward,2.5669206587109006e-05
76,77,callwait,2.4505555629136705e-05
77,78,tenure,2.437235358455792e-05
78,79,spousedcat,2.37470278472482e-05
79,80,lnlongten,2.346381547022976e-05
80,81,carcatvalue,2.3157230181547483e-05
81,82,commutecat,2.2888443273205893e-05
82,83,ownpda,2.2810433224272018e-05
83,84,card2tenure,2.2429114347201407e-05
84,85,townsize_4.0,2.1592755867513992e-05
85,86,inccat,2.158544631219701e-05
86,87,cardtenure,2.119524765724952e-05
87,88,pets_freshfish,2.11000206243142e-05
88,89,default,2.046583073828581e-05
89,90,townsize_2.0,1.9532737704770103e-05
90,91,card,1.945255190009374e-05
91,92,churn,1.880886123298216e-05
92,93,active,1.8097809272501974e-05
93,94,ebill,1.7728013179004024e-05
94,95,birthmonth_February,1.7577715567353605e-05
95,96,carbuy,1.745872225023427e-05
96,97,cardfee,1.7344084671064036e-05
97,98,agecat,1.7159572625423146e-05
98,99,owngame,1.6398565714739398e-05
99,100,lnequipten,1.5927463606125554e-05
100,101,commutebus,1.4136709199620674e-05
101,102,carbought,1.4071453833933468e-05
102,103,addresscat,1.3996044508961649e-05
103,104,vote,1.373022888930666e-05
104,105,card2fee,1.3372518710656804e-05
105,106,commutebike,1.3209203026209236e-05
106,107,townsize_3.0,1.290190817716633e-05
107,108,lnequipmon,1.2898630977714607e-05
108,109,polcontrib,1.2713564357053589e-05
109,110,ownipod,1.1882731797093559e-05
110,111,equipmon,1.1882156982040162e-05
111,112,pets_small,1.1801786335551692e-05
112,113,gender,1.1467581198387603e-05
